mention_uid,uptake_label,uptake_secondary_label,uptake_confidence,uptake_rationale
influxdata/docs-v2#6622:issue_comment:3703021628,positive_uptake,,1.0,
ollieb89/jules_api_ui#61:issue_comment:3702890155,positive_uptake,,1.0,
ollieb89/jules_api_ui#61:issue_comment:3702973115,positive_uptake,,0.8,
Jayc82/Orion#1:issue_comment:3701733810,positive_uptake,,0.9,
Open-J-Proxy/ojp#196:issue_comment:3698911071,corrective_critique,continued_delegation,0.8,
Jayc82/Orion#1:issue_comment:3702967187,continued_delegation,positive_uptake,0.8,
JakeDot/cgeo#137:issue_comment:3702584335,corrective_critique,corrective,1,
Open-J-Proxy/ojp#196:issue_comment:3701792517,corrective_critique,negative_uptake,0.8,
Open-J-Proxy/ojp#196:issue_comment:3702113071,corrective_critique,continued_delegation,0.8,
carstenartur/eclipse.jdt.ui#43:issue_comment:3703008850,corrective_critique,negative_uptake,0.8,The human responded by pointing out the AI's limitations and requesting additional features.
Open-J-Proxy/ojp#196:issue_comment:3704939789,corrective_critique,no_clear_uptake,0.8,
Open-J-Proxy/ojp#196:issue_comment:3702860412,corrective_critique,no_clear_uptake,0.8,
Open-J-Proxy/ojp#196:issue_comment:3698631927,positive_uptake,continued_delegation,0.85,
carstenartur/eclipse.jdt.ui#43:issue_comment:3703270016,continued_delegation,positive_uptake,0.8,
dawgg20sum-sketch/parser#1:issue_comment:3703016835,corrective_critique,,0.8,
h0witzer/onshape-std-library-mirror#58:issue_comment:3702952015,positive_uptake,,1.0,
tadoogie/test#23:issue_comment:3700753225,corrective_critique,,0.9,
tadoogie/test#23:issue_comment:3700718075,corrective_critique,,0.9,
algesten/str0m#810:issue_comment:3703012039,positive_uptake,,0.9,
Jayc82/Orion#1:issue_comment:3703157049,corrective_critique,continued_delegation,0.8,
Jayc82/Orion#1:issue_comment:3703220874,corrective_critique,positive_uptake,0.8,
Jayc82/Orion#1:issue_comment:3703167022,corrective_critique,,1.0,
algesten/str0m#810:issue_comment:3702986065,positive_uptake,continued_delegation,0.8,
Jayc82/Orion#1:issue_comment:3703008335,positive_uptake,,0.8,
dbosk/ladok3#122:review:3621473893,corrective_critique,negative_uptake,0.9,The human response indicates the AI output was wrong or failed.
ollieb89/jules_api_ui#74:issue_comment:3703291940,corrective_critique,,1.0,
jchoi2x/hocuspocus#3:issue_comment:3702975335,corrective_critique,positive_uptake,0.8,
dbosk/ladok3#122:review_comment:2655981608,positive_uptake,,0.9,
ollieb89/jules_api_ui#74:issue_comment:3733684288,positive_uptake,,1.0,
bberardi/finance-calculator#27:review_comment:2656737006,positive_uptake,,1.0,
bberardi/finance-calculator#27:issue_comment:3702455505,positive_uptake,continued_delegation,0.9,
bberardi/finance-calculator#27:issue_comment:3701342255,continued_delegation,positive_uptake,0.8,
strawgate/kb-yaml-to-lens#484:issue_comment:3703102690,positive_uptake,,1,
strawgate/kb-yaml-to-lens#484:issue_comment:3703061471,corrective_critique,continued_delegation,0.8,
Columbia-Cloudworks-LLC/EquipQR#456:issue_comment:3701990235,positive_uptake,,1,
strawgate/kb-yaml-to-lens#473:issue_comment:3703032333,positive_uptake,no_further_discussion,0.8,
strawgate/kb-yaml-to-lens#467:issue_comment:3703963860,positive_uptake,confirmed,0.8,
BryceWayne/MemoryStore#12:issue_comment:3703064819,positive_uptake,,0.8,
strawgate/kb-yaml-to-lens#467:issue_comment:3703294572,corrective_critique,continued_delegation,0.8,
Columbia-Cloudworks-LLC/EquipQR#456:issue_comment:3702647913,positive_uptake,continued_delegation,0.9,
fmidue/modelling-tasks#521:issue_comment:3702694769,positive_uptake,,0.9,
fmidue/modelling-tasks#521:issue_comment:3702445262,positive_uptake,continued_delegation,0.9,
demaconsulting/DotnetToolWrapper#28:issue_comment:3702947644,positive_uptake,,0.9,
springfall2008/batpred#3153:issue_comment:3703024876,positive_uptake,,1,
Stage4000/420th#1:issue_comment:3703158912,corrective_critique,continued_delegation,0.85,
fmidue/modelling-tasks#521:issue_comment:3702523947,positive_uptake,continued_delegation,0.8,"Human continues to assign more work to AI after accepting and building upon the invocation, with a minor correction in the subsequent steps."
daisytuner/sdfglib#423:issue_comment:3703230916,positive_uptake,continued_delegation,0.9,
Stage4000/420th#1:issue_comment:3703192396,corrective_critique,,0.8,
ArtemFilin1990/Baza#56:issue_comment:3703007480,positive_uptake,,0.9,
LachlanBWWright/PangeaRSEdit#63:issue_comment:3702937535,positive_uptake,,0.8,
curtcox/Viewer#658:issue_comment:3702973042,positive_uptake,continued_delegation,0.9,
Stage4000/420th#1:issue_comment:3703058845,corrective_critique,continued_delegation,0.8,
RobGibbens/CardGames#184:issue_comment:3702736640,corrective_critique,multiple_corrective_critiques,0.9,
Hexagon/hemulator#214:issue_comment:3702990881,positive_uptake,continued_delegation,1.0,
Alan-Jowett/CoPilot-For-Consensus#665:issue_comment:3702938715,positive_uptake,,0.9,
githubnext/gh-aw#8355:issue_comment:3702943097,positive_uptake,,high,
Hack23/cia#8153:issue_comment:3702206053,positive_uptake,,0.9,
Alan-Jowett/CoPilot-For-Consensus#657:issue_comment:3702868830,positive_uptake,continued_delegation,0.9,
Xenthio/UITest#30:issue_comment:3703183002,positive_uptake,,1.0,
fritz-net/AoE2-Civbuilder#189:issue_comment:3702972213,corrective_critique,negative_uptake,0.8,
Xenthio/UITest#30:issue_comment:3703077359,positive_uptake,continued_delegation,0.8,
Hack23/cia#8153:issue_comment:3702483423,positive_uptake,,1,
lorenzogm/opticasuarez#331:issue_comment:3703027062,positive_uptake,,0.9,
ivviiviivvi/.github#148:issue_comment:3703231678,positive_uptake,,0.9,
Xenthio/UITest#30:issue_comment:3703180743,corrective_critique,positive_uptake,0.8,
daisytuner/sdfglib#423:issue_comment:3709508009,positive_uptake,,1.0,
andersaamodt/wizardry#771:issue_comment:3703035544,positive_uptake,continued_delegation,0.8,
Hexagon/hemulator#214:issue_comment:3704275587,positive_uptake,continued_delegation,0.8,
heyns1000/omnigrid#31:issue_comment:3702977122,positive_uptake,,0.95,
sbryden/Scalar.Game#9:issue_comment:3702989789,positive_uptake,,high,
heyns1000/omnigrid#31:issue_comment:3702955528,positive_uptake,continued_delegation,0.8,
julienstroheker/AzHexGate#28:review:3621582353,corrective_critique,,1,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702777168,corrective_critique,,0.9,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702744959,positive_uptake,,0.9,
machi0x/Memoiz#12:issue_comment:3702996801,positive_uptake,continued_delegation,0.9,
githubnext/gh-aw#8362:issue_comment:3702988912,positive_uptake,,0.9,
goataka/attendance-kit#7:issue_comment:3701410473,positive_uptake,,1.0,
Tbearden10/cheapraidbanners#28:issue_comment:3702965411,no_clear_uptake,no_clear_uptake,0.8,
dotnet/runtime#122791:review_comment:2655527598,positive_uptake,,high,
mgradwohl/tasksmack#303:issue_comment:3703172176,positive_uptake,continued_delegation,0.8,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702778467,corrective_critique,corrective,0.8,
julienstroheker/AzHexGate#28:issue_comment:3703214032,corrective_critique,continued_delegation,0.8,
julienstroheker/AzHexGate#28:issue_comment:3703218866,corrective_critique,negative_uptake,0.9,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3702700055,positive_uptake,continued_delegation,0.8,
julienstroheker/AzHexGate#28:issue_comment:3703242226,corrective_critique,negative,1.0,
JosunLP/api-faker#2:issue_comment:3703056116,positive_uptake,,1.0,
goataka/attendance-kit#7:review_comment:2655066531,positive_uptake,continued_delegation,0.8,
karlokarate/FishIT-Player#543:issue_comment:3702928416,positive_uptake,continued_delegation,0.9,
MohamadKhaledAbbas/BreadBagCounterSystem#68:issue_comment:3702989184,positive_uptake,corrective_critique,0.8,
Hack23/blacktrigram#1056:issue_comment:3702996201,positive_uptake,acceptance,0.9,
karlokarate/FishIT-Player#543:issue_comment:3702946302,corrective_critique,,0.8,
FreeForCharity/FFC-EX-PAGboosters.org#28:issue_comment:3703154118,positive_uptake,,0.9,
vinnieboy707/Hydra-termux#12:issue_comment:3702945379,positive_uptake,,0.95,
machi0x/Memoiz#12:issue_comment:3703071182,positive_uptake,,1,
mgradwohl/tasksmack#303:issue_comment:3703536064,corrective_critique,,1.0,
jrupp/bricklayouts#42:review_comment:2656001611,positive_uptake,acceptance,1.0,
trabalhefabricio/iconic-fl-pluginsorter#6:issue_comment:3703056089,positive_uptake,continued_delegation,1.0,
jonarasgames/AniVerse#51:issue_comment:3703036199,positive_uptake,,1,
mgradwohl/tasksmack#303:review_comment:2656188704,continued_delegation,,0.8,
MohamadKhaledAbbas/BreadBagCounterSystem#68:issue_comment:3702928284,corrective_critique,continued_delegation,0.8,
